H,L,n,RA_pct,RB_pct,RC_pct,SPL_pct,v33_m,RA_m,RB_m,RC_m,SPL_m,best,lift_vs_v33
14,13,17160,0.5283799533799534,0.3229020979020979,0.0,0.0,0.6209321088430587,0.15766987126051407,0.2753362453345096,3.2355842058696633,4.825358973127803,RA,4632.622375825446
14,12,17160,0.6444638694638695,0.19924242424242425,0.0,0.0,0.5748490678090038,0.1075620631793718,0.439117716718248,2.9500812939814853,4.615364510961048,RA,4672.87004629632
14,11,17160,0.6684149184149184,0.14219114219114218,0.0,0.0,0.5781797781869409,0.09831439350451623,0.5718805360106322,2.8009533795816846,4.4071585084253595,RA,4798.653846824247
14,10,17160,0.5224941724941725,0.29102564102564105,0.0,0.0,0.5152980775748204,0.18733158471770497,0.3896011085950689,2.486149476069603,4.092035840295357,RA,3279.6649285711546
14,9,17160,0.42156177156177155,0.41293706293706295,0.0,0.0,0.5111051876945117,0.2746273312036009,0.2851113050898194,2.3522045459910914,4.105080712004076,RA,2364.778564909109
14,8,17160,0.4076923076923077,0.44755244755244755,0.00017482517482517483,0.0,0.4655611891042775,0.30091316943341273,0.26267773933569727,2.097182401135783,3.80398368364035,RB,2028.8344976858025
14,7,17160,0.43152680652680653,0.426981351981352,0.0015734265734265735,0.0,0.40037237778132334,0.28298484902765975,0.278754078398463,1.821909674016557,3.593032634661138,RB,1216.1829938286032
14,6,17160,0.4743006993006993,0.37033799533799533,0.007400932400932401,0.0,0.3320655593137302,0.23504924192728305,0.31467628245912754,1.5728636358798394,3.5363685895874446,RA,970.1631738644717
14,5,17160,0.49726107226107225,0.28834498834498834,0.04061771561771562,0.0,0.251479312123314,0.20631847234365763,0.3971145108997787,1.1613898608666933,3.124846737560521,RA,451.60839779656345
14,4,17160,0.45064102564102565,0.22983682983682985,0.10180652680652681,0.0,0.2210145694243294,0.23493881125783544,0.46285314718766096,0.85613694714061,3.0146037305194,RA,-139.24241833506045
14,3,17160,0.3880536130536131,0.16142191142191142,0.18782051282051282,0.0,0.23324358977083257,0.28887237793915754,0.5937001757150069,0.6133642200143391,2.9761401529277354,RA,-556.2878816832497
14,2,17160,0.3431818181818182,0.08432400932400932,0.2817016317016317,0.0,0.2822386364484562,0.34502564126936097,0.8224857236112149,0.4394551285971303,2.9882272736910767,RA,-627.8700482090477
13,12,17160,0.48216783216783216,0.36742424242424243,0.0,0.0,0.5089997091530855,0.17549388241239916,0.23553146939108144,2.633925991409973,4.315586830670989,RA,3335.058267406863
13,11,17160,0.5501165501165501,0.2723193473193473,0.0,0.0,0.4858219692091694,0.15038461501087064,0.3442616538012222,2.464692015469124,4.139289917766729,RA,3354.373541982988
13,10,17160,0.35874125874125873,0.4809440559440559,0.00017482517482517483,0.0,0.48126981219950854,0.30169871677156096,0.20333974289171625,2.187459207005855,3.886420162548398,RB,2779.3006930779234
13,9,17160,0.2558857808857809,0.6062937062937063,0.0002913752913752914,0.0,0.502384032964943,0.43890792473180257,0.1368965615220976,2.0327319350386674,3.8706261657421,RB,3654.8747144284544
13,8,17160,0.21655011655011655,0.6462703962703963,0.0006993006993006993,0.0,0.5070690572322053,0.5038033221230683,0.11675670151967807,1.9176145114759549,3.8571806543877365,RB,3903.123557125272
13,7,17160,0.23624708624708624,0.6251748251748251,0.003438228438228438,0.0,0.4407645685651984,0.4812631120242608,0.1279865971050553,1.6294539630434766,3.547134907923732,RB,3127.779714601431
13,6,17160,0.2727855477855478,0.5596736596736597,0.013053613053613054,0.0,0.35403846161834035,0.4183178908319163,0.16012529198401595,1.338583624820086,3.3365439985637795,RB,1939.131696343244
13,5,17160,0.28793706293706295,0.4863053613053613,0.0418997668997669,0.0,0.2907272731863062,0.39190384653713856,0.19423543057102702,1.066944638344444,3.1748076928443534,RB,964.9184261527919
13,4,17160,0.25361305361305364,0.41095571095571093,0.11159673659673659,0.0,0.26559877648335256,0.4335276809976369,0.24757896222310935,0.7680836253421216,3.071672786096608,RB,180.1981426024321
13,3,17160,0.21107226107226107,0.2947552447552448,0.22243589743589742,0.0,0.2760087413577111,0.4986220863413843,0.3605792539355417,0.5278065264721603,3.014361597278583,RB,-845.7051257783061
13,2,17160,0.18682983682983684,0.16037296037296037,0.33986013986013985,0.0,0.31907575713358777,0.557530594033912,0.5704711537358258,0.34446357782552395,3.0302872967084062,RC,-253.87820691936182
12,11,17160,0.4055361305361305,0.4305944055944056,0.00011655011655011655,0.0,0.43813111845404995,0.22247727219718735,0.19873572378864376,2.196082750935865,3.807423077987036,RB,2393.953946654062
12,10,17160,0.22983682983682985,0.6237179487179487,0.0002331002331002331,0.0,0.4817922499837866,0.41820017579706315,0.11461217991990365,1.9845294301351424,3.634762238988833,RB,3671.8007006388298
12,9,17160,0.14172494172494174,0.7257575757575757,0.000641025641025641,0.0,0.5435387534476894,0.5889160843874873,0.07635460381422166,1.8837925410973309,3.6558286723909825,RB,4671.841496334678
12,8,17160,0.11567599067599067,0.751981351981352,0.001048951048951049,0.0,0.5648295465069291,0.68067628284303,0.0675629376913562,1.764876458131261,3.618533218598117,RB,4972.666088155729
12,7,17160,0.12255244755244755,0.7264568764568765,0.002680652680652681,0.0,0.5351051861652562,0.6764411412136052,0.07378205104067809,1.6355492423125706,3.5766888111678337,RB,4613.23135124578
12,6,17160,0.1502913752913753,0.6697552447552447,0.012237762237762238,0.0,0.4327016320040489,0.5989798954191415,0.09700320559279181,1.3218712127111887,3.2426182999628943,RB,3356.9842641125706
12,5,17160,0.16462703962703962,0.5961538461538461,0.04195804195804196,0.0,0.3652867128072298,0.5703653844564042,0.12597639830267418,1.050007285109541,3.0700040797980845,RB,2393.103145045556
12,4,17160,0.14731934731934732,0.5045454545454545,0.11317016317016317,0.0,0.3381733688661538,0.6123531473060257,0.17284644488592596,0.7503805364368674,2.964474069059442,RB,1653.2692398022784
12,3,17160,0.12476689976689977,0.3735431235431235,0.23339160839160839,0.0,0.34353496515124793,0.6747415507886894,0.2739676576043156,0.5008047786609667,2.914304780046453,RB,695.6730754693235
12,2,17160,0.11118881118881119,0.21416083916083917,0.37377622377622377,0.0,0.384296036659716,0.7312065847403107,0.46723018591455023,0.31009411353808947,2.9163784972597173,RC,742.0192312162654
11,10,17160,0.3871794871794872,0.44638694638694637,0.0005244755244755245,0.0,0.3645037884109204,0.2357039628014737,0.19717278484839051,1.7926013991304528,3.281554487864389,RB,1673.310035625299
11,9,17160,0.25244755244755246,0.593997668997669,0.0008158508158508159,0.0,0.4101182982959461,0.3909012237101324,0.12881439433559028,1.696925699399211,3.3080122387108863,RB,2813.039039603558
11,8,17160,0.1916083916083916,0.656993006993007,0.0020396270396270395,0.0,0.43584527991330013,0.4966465617173475,0.10336043171732229,1.5840431238518646,3.2770926589209757,RB,3324.8484819597784
11,7,17160,0.1896853146853147,0.6435314685314686,0.004079254079254079,0.0,0.4239306524156057,0.5277858380801402,0.10825582726289777,1.4468680065663615,3.2040853731621857,RB,3156.748251527079
11,6,17160,0.19784382284382285,0.6021561771561772,0.008682983682983684,0.0,0.39680827548141245,0.5039874712020996,0.1270562354508909,1.3608467365840302,3.1692858396525687,RB,2697.5204003052154
11,5,17160,0.20186480186480185,0.5501748251748252,0.030186480186480187,0.0,0.3484338578099433,0.5067878791159302,0.15355099083558332,1.0855539046949219,2.895846737357234,RB,1948.8286697435997
11,4,17160,0.17127039627039628,0.4962121212121212,0.08927738927738928,0.0,0.3246287884678592,0.5690390450526615,0.18221212166756617,0.787790793390556,2.795094115839943,RB,1424.1666680029302
11,3,17160,0.14137529137529137,0.3942307692307692,0.19615384615384615,0.0,0.32621124705108695,0.6408741260721893,0.2540737182356196,0.5378747085095242,2.7384915499229936,RB,721.3752881546736
11,2,17160,0.12092074592074592,0.25384615384615383,0.34364801864801864,0.0,0.3525346739916674,0.7003257580488456,0.40117220312193047,0.332891026050686,2.7340419592472047,RC,196.4364794098139
10,9,17160,0.4182983682983683,0.4168997668997669,0.0018648018648018648,0.0,0.3289026809353729,0.2267170740356061,0.21681672486065212,1.6369399775639133,2.985543707424247,RB,1120.8595607472075
10,8,17160,0.34015151515151515,0.5011072261072261,0.003554778554778555,0.0,0.3418802445256184,0.30636072265725617,0.17972319341386236,1.5423301280898396,2.966070513404843,RB,1621.5705111175603
10,7,17160,0.33811188811188814,0.4902097902097902,0.005536130536130536,0.0,0.3347386362010478,0.3383857809109201,0.19092977873954947,1.4326958045711315,2.8964055956201302,RB,1438.0885746149836
10,6,17160,0.34924242424242424,0.4586247086247086,0.008333333333333333,0.0,0.3098884027326449,0.32464131661186035,0.21609411392554137,1.3256561774896167,2.8350460378232243,RB,937.9428880710352
